centroide,CoordX,CoordY,S1-III,S1-IV,TS(TL),TS(TC),M1.2,M1.1,G1.1,G1.2,A1.1,A1.2,TL,P,TS(S2)IV,TS(S2)III,TS(S2)V,S1-V,CN,S1-VII,M2.1,M2.2,TS(S2)VI
LD_5,5465217.615,5914441.669,,,,,,,,,,,,-2,,,,,,,,,
LE_1,5549648.555,5978425.316,,,,,,,,,,,,-21,,,,,,,,,
LE_2,5459451.901,5994037.823,,,,,,,,,,,,-42,,,,,,,,,
LE_3,5560279.815,6001674.615,,,,,,,,,,,,-24,,,,,,,,,
LE_4,5463204.009,5972620.763,,,,,,,,,,,,19,,,,,,,,,
LEs_1,5496605.484,5975747.398,,,,,,,,,,,,,,,,,52,,,,
LEs_2,5537972.409,5960703.009,,,,,,,,,,,,,,,,,56,,,,
LEs_3,5405497.009,5953791.995,,,,,,,,,,,,,,,,,-17,,,,
LEs_4,5387107.367,5898724.353,,,,,,,,,,,,,,,,,26,,,,
LEs_5,5428397.507,5927357.412,,,,,,,,,,,,,,,,,47,,,,
LGn_1,5374931.117,5953047.66,,,,,,,,,,,,,,,,,-28,,,,
LGn_2,5492936.985,6088853.755,,,,,,,,,,,,,,,,,-41,,,,
LGZ_1,5554267.848,5974517.002,,,,,,,,,,,,,,,,,17,,,,
LGZ_2,5613290.531,6079489.094,,,,,,,,,,,,,,,,,-57,,,,
LGZ_3,5552514.009,6003519.633,,,,,,,,,,,,,,,,,-15,,,,
LGZ_4,5577289.048,6035793.64,,,,,,,,,,,,,,,,,9,,,,
LL_1,5689332.827,6026341.653,,,,,,,,,,,,-60,,,,,,,,,
LL_2,5576765.743,6039125.239,,,,,,,,,,,,-20,,,,,,,,,
LL_3,5709607.204,6051591.297,,,,,,,,,,,,-60,,,,,,,,,
LMa_1,5543192.966,5795429.084,,,,,,,,,,,,,,,,,110,,,,
LNE_1,5488856.631,5950629.173,,,,,,,,,,,,18,,,,,,,,,
LNE_2,5513042.866,5865853.656,,,,,,,,,,,,30,,,,,,,,,
LNE_3,5463285.975,5945333.179,,,,,,,,,,,,15,,,,,,,,,
LPa_1,5499650.735,6040497.072,,,,,,,,,,,,,,,,,32,,,,
LPa_2,5449977.91,6005826.182,,,,,,,,,,,,,,,,,5,,,,
LPa_3,5425940.968,5980319.609,,,,,,,,,,,,,,,,,2,,,,
LPa_4,5529475.062,6039151.244,,,,,,,,,,,,,,,,,4,,,,
LPa_5,5478844.016,6037861.794,,,,,,,,,,,,,,,,,-4,,,,
LTi_1,5382959.016,5925941.567,,,,,,,,,,,,-37,,,,,,,,,
LTi_2,5370994.955,5912476.534,,,,,,,,,,,,-6,,,,,,,,,
LHe_1,5515425.221,5797044.526,,,,,,,,,,,,48,,,,,,,,,
LHe_2,5384146.156,5805764.201,,,,,,,,,,,,18,,,,,,,,,
LHe_3,5575173.428,5805878.981,,,,,,,,,,,,36,,,,,,,,,
LHe_4,5470066.48,5811576.971,,,,,,,,,,,,47,,,,,,,,,
LMs_1,5365941.393,5897368.945,,,,,,,,,,,,71,,,,,,,,,
Lo_1,5599404.168,5791410.424,,,,,,,,,,,,,,,,,70,,,,
LM_1,5667182.154,6037183.95,,,,,,,,,,,,,,,,,-56,,,,
LM_2,5620967.058,6092097.686,,,,,,,,,,,,,,,,,-71,,,,
LM_3,5668517.435,6081567.528,,,,,,,,,,,,,,,,,-56,,,,
LM_4,5646740.734,6045435.159,,,,,,,,,,,,,,,,,-56,,,,
LM_5,5675350.684,6049787.615,,,,,,,,,,,,,,,,,-56,,,,
Ma_1,5775665.153,5917042.089,,,,,,,,,,,,,,,,,79,,,,
Ma_2,5778067.432,5914054.673,,,,,,,,,,,,,,,,,80,,,,
MP_1,5619970.972,5805687.433,,,,,,,,,,,,40,,,,,,,,,
MP_2,5691135.157,5803455.437,,,,,,,,,,,,59,,,,,,,,,
MP_3,5593309.642,5865305.473,,,,,,,,,,,,22,,,,,,,,,
MP_4,5733124.513,5906262.032,,,,,,,,,,,,32,,,,,,,,,
Me_1,5565979.836,5798201.509,,,,,,,,,,,,28,,,,,,,,,
Me_2,5575544.596,5804709.773,,,,,,,,,,,,27,,,,,,,,,
Min_1,5532104.905,5922055.767,,,,,,,,,,,,,,,,,65,,,,
Min_2,5485479.018,5919277.002,,,,,,,,,,,,,,,,,47,,,,
Mo_1,5537292.321,6112761.276,,,,,,,,,,,,-57,,,,,,,,,
Mo_2,5533985.517,6123396.156,,,,,,,,,,,,-53,,,,,,,,,
Mrs_1,5382425.163,6156534.541,,,,,,,,,,,,,,,,,-31,,,,
Mrs_2,5374026.348,6112868.676,,,,,,,,,,,,,,,,,-29,,,,
NP_1,5631754.124,5820035.889,,,,,,,,,,,,,,,,,93,,,,
NP_2,5411437.784,5927297.621,,,,,,,,,,,,,,,,,-12,,,,
NP_3,5446710.252,5926741.784,,,,,,,,,,,,,,,,,33,,,,
No_1,5443388.618,6069355.244,,,,,,,,,,,,-56,,,,,,,,,
Or_1,5490217.023,6068120.118,,,,,,,,,,,,-41,,,,,,,,,
Pl_1,5735481.232,6038631.519,,,,,,,,,,,,-38,,,,,,,,,
Po_1,5665892.279,6116047.653,,,,,,,,,,,,-70,,,,,,,,,
Que_1,5514236.404,5952901.018,,,,,,,,,,,,,,,,,54,,,,
Que_2,5471836.742,5900124.24,,,,,,,,,,,,,,,,,30,,,,
RG_1,5382038.842,5822044.804,,,,,,,,,,,,6,,,,,,,,,
RG_2,5370736.258,5825613.099,,,,,,,,,,,,4,,,,,,,,,
Rch_1,5547509.179,5919002.807,,,,,,,,,,,,26,,,,,,,,,
Rch_2,5573071.822,5951228.252,,,,,,,,,,,,24,,,,,,,,,
Rch_3,5616915.071,5957980.735,,,,,,,,,,,,25,,,,,,,,,
Rch_4,5576803.947,5901804.772,,,,,,,,,,,,21,,,,,,,,,
Sa_1,5562144.095,6065197.524,,,,,,,,,,,,-28,,,,,,,,,
Sa_2,5463560.926,6057732.512,,,,,,,,,,,,-45,,,,,,,,,
SGb_1,5490343.148,5795463.965,,,,,,,,,,,,,,,,,117,,,,
SGb_2,5542551.209,5803659.385,,,,,,,,,,,,,,,,,112,,,,
SGb_3,5435134.182,5798464.386,,,,,,,,,,,,,,,,,106,,,,
SGb_4,5562155.411,5812991.145,,,,,,,,,,,,,,,,,96,,,,
SGb_5,5426033.48,5821994.154,,,,,,,,,,,,,,,,,87,,,,
SLB_1,5644830.101,6092711.111,,,,,,,,,,,,,,,,,-55,,,,
SLB_2,5655267.688,6090400.662,,,,,,,,,,,,,,,,,-28,,,,
SRi_1,5501335.326,6008214.264,,,,,,,,,,,,,,,,,18,,,,
SRi_2,5454922.978,6037023.391,,,,,,,,,,,,,,,,,-26,,,,
SRi_3,5378672.456,5950709.357,,,,,,,,,,,,,,,,,-23,,,,
SRi_4,5538255.895,6061814.647,,,,,,,,,,,,,,,,,-18,,,,
SRi_5,5430801.175,6043433.585,,,,,,,,,,,,,,,,,-34,,,,
Se_1,5475204.638,6121341.206,,,,,,,,,,,,-44,,,,,,,,,
SCh_1,5507156.424,5919400.062,,,,,,,,,,,,28,,,,,,,,,
SCh_2,5488993.068,5918706.647,,,,,,,,,,,,7,,,,,,,,,
SP_1,5526247.112,5896602.452,,,,,,,,,,,,,,,,,36,,,,
SP_2,5627319.248,5810289.996,,,,,,,,,,,,,,,,,51,,,,
SP_3,5557061.609,5840380.146,,,,,,,,,,,,,,,,,50,,,,
SP_4,5686235.823,5798873.695,,,,,,,,,,,,,,,,,56,,,,
SP_5,5449646.272,5927573.229,,,,,,,,,,,,,,,,,25,,,,
SP_6,5572745.88,5858425.18,,,,,,,,,,,,,,,,,38,,,,
Ta_1,5590809.955,5800739.013,,,,,,,,,,,,24,,,,,,,,,
Ta_2,5584573.693,5818164.125,,,,,,,,,,,,22,,,,,,,,,
