centroide;CoordX;CoordY;S1-III;S1-IV;TS(TL);TS(TC);M1,2;M1,1;G1,1;G1,2;A1,1;A1,2;TL;P;TS(S2)IV;TS(S2)III;TS(S2)V;S1-V;CN;S1-VII;M2,1;M2,2;TS(S2)VI
FA100-35_31;5490541,338;7086072,779;;;;;;;;25;-6;-5;;;;;;;13;25;31;41;
FA100-35_43;5574915,515;7065747,05;;;;;;;;14;-14;-12;;;;;;;5;19;26;35;
FA100-35_32;5538881,507;7068434,56;;;;;;;;17;-12;-10;;;;;;;7;21;27;37;
FA100-35_44;5627160,374;7036697,9;;;;;;;;16;-17;-15;;;;;;;3;17;24;34;
FA100-30_15;5230753,695;7206487,372;;;;;;;;44;12;15;;;;;;;35;51;57;66;
FA60-40_1;5526977,242;7025627,26;;;;;;;;3;-31;-30;;;;;;;-12;1;9;21;
FA60-30_2;5187988,809;7164894,484;;;;;;;;97;52;55;;;;;;;82;97;103;112;
FA80-40_1;5336256,006;7130593,819;;;;;;;;13;-18;-17;;;;;;;2;16;23;35;
FA80-45_1;5446445,155;7144811,245;;;;;;;;15;-18;-16;;;;;;;2;14;21;32;
FAr40-35_1;5365194,275;7263898,407;;;;;;;;78;8;9;;;;;;;43;54;68;91;
FAr40-35_2;5299671,886;7307595,283;;;;;;;;52;-10;-7;;;;;;;28;52;67;89;
FAr60-35_1;5417646,976;7073116,142;;;;;;;;18;-27;-24;;;;;;;1;20;31;48;
FAr60-35_2;5407159,227;7118551,393;;;;;;;;22;-24;-22;;;;;;;2;20;31;48;
FArA60-30_1;5339339,362;7116838,826;;;;;;;;5;-31;-28;;;;;;;-3;19;30;48;
FArA60-30_3;5379962,353;7126832,18;;;;;;;;4;-29;-26;;;;;;;-3;19;30;48;
FArL100-40_4;5607296,936;7066789,492;;;;;;;;19;-3;0;;;;;;;18;39;47;58;
FArL100-40_5;5590592,112;6955384,916;;;;;;;;55;16;18;;;;;;;41;58;66;77;
FArL100-40_3;5649316,193;7033860,472;;;;;;;;34;-5;-2;;;;;;;21;39;47;59;
FArL40-40_1;5380489,17;7239771,809;;;;;;;;39;-19;-17;;;;;;;11;25;38;59;
FArL40-35_1;5307930,287;7278966,471;;;;;;;;17;-33;-30;;;;;;;-1;21;34;54;
FArL80-35_1;5363672,005;6917598,19;;;;;;;;-3;-19;-13;;;;;;;-5;40;48;60;
FArL80-35_2;5342350,297;6933299,782;;;;;;;;0;-18;-13;;;;;;;-1;36;45;59;
FArL80-40_1;5458236,144;7080845,145;;;;;;;;35;-7;-5;;;;;;;19;35;44;57;
FArL80-40_2;5456201,415;6993715,444;;;;;;;;14;-16;-13;;;;;;;10;28;37;50;
FL100-35_3;5419930,035;7050551,474;;;;;;;;29;-2;1;;;;;;;19;34;40;50;
FL100-35_25;5424626,658;6951627,933;;;;;;;;-1;-13;-8;;;;;;;-1;27;33;42;
FL100-35_4;5391061,408;7029325,803;;;;;;;;18;-6;-4;;;;;;;13;31;38;47;
FL100-35_5;5362242,039;6945210,635;;;;;;;;6;-9;-5;;;;;;;7;30;36;45;
FL100-35_6;5380594,439;7018961,258;;;;;;;;18;-7;-4;;;;;;;13;31;38;47;
FL100-35_23;5482528,706;7006701,349;;;;;;;;25;-4;-1;;;;;;;16;31;37;46;
FL100-30_2;5382973,533;6911959,596;;;;;;;;-1;-11;-6;;;;;;;-2;30;36;44;
FL100-35_7;5422513,865;7141041,345;;;;;;;;27;0;2;;;;;;;19;33;39;48;
FL100-35_24;5434173,97;6960523,399;;;;;;;;15;-8;-5;;;;;;;11;31;38;47;
FL100-50_24;5599054,103;6962115,428;;;;;;;;42;9;11;;;;;;;30;43;50;59;
FL100-35_8;5330273,193;7105558,31;;;;;;;;21;0;18;;;;;;;16;34;40;49;
FL100-35_10;5352107,971;6962973,043;;;;;;;;9;-9;-6;;;;;;;8;28;34;43;
FL100-35_11;5377668,398;6955871,008;;;;;;;;6;-10;-6;;;;;;;6;29;35;44;
FL20-40_1;5370412,974;7011414,697;;;;;;;;-6;-50;-49;;;;;;;-33;-28;-17;1;
FL20-40_2;5348940,024;6995036,196;;;;;;;;-11;-52;-52;;;;;;;-36;-30;-20;-2;
FL20-40_3;5408152,706;7192284,123;;;;;;;;18;-29;-29;;;;;;;-9;-5;5;23;
FL40-45_3;5615805,672;7033329,072;;;;;;;;-13;-52;-51;;;;;;;-33;-18;-9;7;
FL40-45_2;5612538,083;6985409,652;;;;;;;;22;-17;-16;;;;;;;4;17;26;41;
FL40-45_1;5578651,645;6966857,777;;;;;;;;27;-16;-15;;;;;;;7;20;31;46;
FL40-40_1;5389104,686;6935038,6;;;;;;;;0;-30;-28;;;;;;;-12;5;14;29;
FL60-45_1;5467707,877;7101467,881;;;;;;;;16;-22;-20;;;;;;;0;13;21;34;
FL80-40_9;5553412,928;7004120,677;;;;;;;;42;4;7;;;;;;;27;41;49;59;
FL80-40_1;5359588,546;7223851,248;;;;;;;;36;-1;1;;;;;;;22;33;40;51;
FL80-40_10;5566123,108;6979503,453;;;;;;;;39;1;3;;;;;;;24;39;46;57;
FL80-40_2;5344619,176;7033644,346;;;;;;;;13;-14;-11;;;;;;;7;24;31;42;
FL80-40_17;5545917,388;7037838,323;;;;;;;;10;-19;-16;;;;;;;2;18;25;36;
FL80-40_3;5405548,519;6947216,426;;;;;;;;2;-17;-14;;;;;;;1;22;29;40;
FL80-40_4;5426861,344;6981440,11;;;;;;;;19;-16;-13;;;;;;;7;24;32;44;
FL80-40_11;5509997,411;7075012,539;;;;;;;;24;-10;-8;;;;;;;11;24;31;42;
FL80-40_12;5503545,774;7027339,533;;;;;;;;13;-16;-13;;;;;;;5;20;27;38;
FL80-40_13;5477530,784;7124211,996;;;;;;;;31;-4;-2;;;;;;;18;30;37;48;
FL80-40_14;5467019,562;7027224,08;;;;;;;;17;-16;-14;;;;;;;5;18;25;36;
FL80-40_15;5482081,106;7059317,161;;;;;;;;19;-13;-11;;;;;;;8;22;29;39;
FL80-40_16;5511614,817;7024751,115;;;;;;;;13;-16;-13;;;;;;;5;21;28;39;
FL80-40_5;5389060,374;6970761,599;;;;;;;;13;-17;-15;;;;;;;5;23;31;43;
FL80-40_6;5399159,37;6965793,295;;;;;;;;13;-17;-14;;;;;;;6;24;32;43;
FL80-40_7;5384557,305;7036110,113;;;;;;;;12;-16;-14;;;;;;;5;22;29;41;
FL80-40_8;5391267,555;6994919,853;;;;;;;;13;-18;-15;;;;;;;5;22;30;42;
FL80-35_3;5289570,216;7226667,134;;;;;;;;30;-2;1;;;;;;;21;37;43;53;
FL80-35_2;5340156,42;7095310,157;;;;;;;;16;-13;-10;;;;;;;9;25;33;43;
m-Ar60-45_1;5419041,728;7199937,256;;;;;;;;;;;;;;;;;21;;;;
m-Ar60-45_2;5447138,917;6961420,486;;;;;;;;;;;;;;;;;-5;;;;
m-ArL40-45_1;5537707,862;7089730,874;;;;;;;;;;;;;;;;;-15;;;;
m-F60-35_1;5396672,783;7188701,502;;;;;;;;;;;;;;;;;11;;;;
m-F60-40_1;5450148,249;7179174,21;;;;;;;;;;;;;;;;;-2;;;;
m-F60-40_2;5592633,64;6982185,093;;;;;;;;;;;;;;;;;17;;;;
m-F80-35_1;5395591,206;7097578,004;;;;;;;;;;;;;;;;;9;;;;
m-F80-40_1;5353244,944;7085119,273;;;;;;;;;;;;;;;;;9;;;;
m-F80-35_2;5604353,532;6916422,893;;;;;;;;;;;;;;;;;26;;;;
m-F80-40_2;5387435,037;6997952,413;;;;;;;;;;;;;;;;;5;;;;
m-F80-35_4;5480552,959;7014326,783;;;;;;;;;;;;;;;;;7;;;;
m-F80-35_5;5561698,756;6923920,607;;;;;;;;;;;;;;;;;26;;;;
m-F80-35_6;5530225,366;6927000,208;;;;;;;;;;;;;;;;;26;;;;
m-F80-40_3;5566509,694;6941947,068;;;;;;;;;;;;;;;;;24;;;;
m-F80-35_3;5189742,129;7196935,849;;;;;;;;;;;;;;;;;82;;;;
m-FA100-35_13;5433652,361;7177944,145;;;;;;;;;;;;;;;;;43;;;;
m-FA100-35_2;5381572,83;7198905,21;;;;;;;;;;;;;;;;;21;;;;
m-FA100-35_3;5288561,186;7174615,345;;;;;;;;;;;;;;;;;15;;;;
m-FA100-30_3;5358932,823;7158859,159;;;;;;;;;;;;;;;;;12;;;;
m-FA60-35_3;5408399,966;6930199,799;;;;;;;;;;;;;;;;;-8;;;;
m-FAr40-40_1;5574998,124;7007019,058;;;;;;;;;;;;;;;;;14;;;;
m-FAr80-40_7;5432669,9;6931017,231;;;;;;;;;;;;;;;;;-11;;;;
m-FAr80-45_1;5494444,425;7013776,913;;;;;;;;;;;;;;;;;8;;;;
m-FAr80-45_2;5545178,609;6956146,663;;;;;;;;;;;;;;;;;26;;;;
m-FArL100-40_1;5609811,557;6916695,959;;;;;;;;;;;;;;;;;40;;;;
m-FArL100-45_1;5561393,761;7057098,948;;;;;;;;;;;;;;;;;21;;;;
m-FArL100-40_3;5606783,61;6905281,212;;;;;;;;;;;;;;;;;41;;;;
m-FArL100-40_2;5507074,762;6960438,095;;;;;;;;;;;;;;;;;39;;;;
m-FArL40-45_1;5493712,594;6992112,983;;;;;;;;;;;;;;;;;-25;;;;
m-FArL60-45_1;5531219,094;6958801,814;;;;;;;;;;;;;;;;;18;;;;
m-FArL60-45_2;5448264,787;6972078,017;;;;;;;;;;;;;;;;;-8;;;;
m-FArL60-35_1;5392398,58;6909839,188;;;;;;;;;;;;;;;;;-10;;;;
m-FArL80-35_1;5349321,304;6920041,95;;;;;;;;;;;;;;;;;-6;;;;
m-FArL80-40_1;5465301,703;6990076,923;;;;;;;;;;;;;;;;;10;;;;
m-FL100-35_3;5347540,435;6949871,357;;;;;;;;;;;;;;;;;7;;;;
m-FL100-35_4;5371130,231;6981892,214;;;;;;;;;;;;;;;;;12;;;;
m-FL100-35_6;5498090,388;7136301,913;;;;;;;;;;;;;;;;;32;;;;
m-FL60-45_1;5590105,152;6950371,985;;;;;;;;;;;;;;;;;14;;;;
m-FL60-40_1;5614378,349;6970076,799;;;;;;;;;;;;;;;;;13;;;;
m-FL60-40_3;5602693,634;7056450,482;;;;;;;;;;;;;;;;;-12;;;;
m-FL60-40_2;5519868,441;7119672,017;;;;;;;;;;;;;;;;;13;;;;
m-FL60-35_2;5517123,392;6965359,526;;;;;;;;;;;;;;;;;14;;;;
m-FL60-40_4;5593361,641;6937597,894;;;;;;;;;;;;;;;;;15;;;;
m-FL60-35_1;5425642,045;7162451,378;;;;;;;;;;;;;;;;;-2;;;;
m-FL60-35_3;5495997,627;6942942,887;;;;;;;;;;;;;;;;;13;;;;
m-FL60-35_4;5472814,09;6964737,452;;;;;;;;;;;;;;;;;-7;;;;
m-FL80-35_4;5459717,098;6909544,198;;;;;;;;;;;;;;;;;-9;;;;
m-FL80-40_1;5537349,981;6992176,84;;;;;;;;;;;;;;;;;27;;;;
m-FL80-35_2;5438983,748;6929512,296;;;;;;;;;;;;;;;;;-7;;;;
m-FL80-35_3;5485035,63;6934855,19;;;;;;;;;;;;;;;;;22;;;;
m-FL80-40_2;5552858,582;7024787,979;;;;;;;;;;;;;;;;;0;;;;
m-FL80-40_3;5510511,711;7021550,826;;;;;;;;;;;;;;;;;5;;;;
F80-35_7;5243595,727;7186127,677;;;;;;;;44;12;16;;;;;;;40;63;72;85;
F80-35_8;5243595,727;7186127,677;;;;;;;;44;12;16;;;;;;;40;63;72;85;
FA100-30_16;5230753,695;7206487,372;;;;;;;;44;12;15;;;;;;;35;51;57;66;
FA60-30_3;5187988,809;7164894,484;;;;;;;;97;52;55;;;;;;;82;97;103;112;
FArA60-30_4;5379962,353;7126832,18;;;;;;;;4;-29;-26;;;;;;;-3;19;30;48;
FL100-35_9;5330273,193;7105558,31;;;;;;;;21;0;18;;;;;;;16;34;40;49;
F40-35_2;5343405,349;7090399,515;;;;;;;;-3;-43;-41;;;;;;;-20;-3;8;25;
F40-35_3;5343405,349;7090399,515;;;;;;;;-3;-43;-41;;;;;;;-20;-3;8;25;
FArA60-30_2;5339339,362;7116838,826;;;;;;;;5;-31;-28;;;;;;;-3;19;30;48;
F60-35_3;5336899,992;7186216,245;;;;;;;;20;-25;-23;;;;;;;2;18;28;44;
FArA60-30_5;5379962,353;7126832,18;;;;;;;;4;-29;-26;;;;;;;-3;19;30;48;
F80-35_9;5243595,727;7186127,677;;;;;;;;44;12;16;;;;;;;40;63;72;85;
FA100-30_17;5230753,695;7206487,372;;;;;;;;44;12;15;;;;;;;35;51;57;66;
A100-30_20;5682818,927;6842143,901;;;;;-6;10;-3;;;;;;;;;;7;8;16;;
A100-35_2;5639155,839;6966935,873;;;;;23;41;26;;;;;;;;;;36;36;45;;
A100-30_26;5689803,233;6905115,469;;;;;0;21;4;;;;;;;;;;15;14;24;;
A100-35_1;5607040,533;6847124,757;;;;;14;37;19;;;;;;;;;;29;27;38;;
A100-30_27;5734123,911;6873544,407;;;;;-10;7;-7;;;;;;;;;;3;4;13;;
A100-30_28;5602781,91;6791005,473;;;;;-5;13;-2;;;;;;;;;;9;10;19;;
AF100-35_3;5614900,335;6881071,845;;;;;12;35;17;;;;;;;;;;28;26;37;;
AF100-35_5;5588194,522;6791206,573;;;;;-3;16;0;;;;;;;;;;12;13;22;;
AF100-35_8;5694996,858;6618995,539;;;;;-4;12;-2;;;;;;;;;;9;11;20;;
AF100-35_9;5666011,364;6863663,553;;;;;15;38;20;;;;;;;;;;30;29;39;;
AF100-35_10;5724057,143;6894522,843;;;;;59;75;62;;;;;;;;;;69;68;75;;
AF100-35_12;5811916,647;6943690,131;;;;;;;;;;;;;;;;;58;;;;
AF100-35_2;5734056,84;6671659,594;;;;;-7;9;-5;;;;;;;;;;6;8;17;;
AF100-35_11;5788101,624;6726921,86;;;;;-1;15;1;;;;;;;;;;12;14;22;;
AF60-30_3;5660598,981;6877585,045;;;;;13;37;18;;;;;;;;;;26;22;35;;
AF60-15_2;5739513,241;6907495,483;;;;;71;86;74;;;;;;;;;;78;75;83;;
AF60-30_4;5569847,998;6693533,465;;;;;-3;18;1;;;;;;;;;;11;9;20;;
AF60-30_1;5624309,552;6864111,833;;;;;16;40;21;;;;;;;;;;30;25;38;;
AF60-15_1;5698829,087;6856408,867;;;;;-7;10;-4;;;;;;;;;;4;4;14;;
AF60-30_2;5605331,528;6771529,403;;;;;-7;11;-3;;;;;;;;;;5;4;14;;
AF90-35_1;5564578,926;6745261,959;;;;;-6;13;-3;;;;;;;;;;9;10;19;;
Ar100-45_1;5888377,271;6891660,641;;;;;27;54;32;;;;;;;;;;47;48;60;;
Ar30-45_1;5714926,679;6758539,334;;;;;44;65;48;;;;;;;;;;51;43;55;;
F100-40_20;5555870,497;6660091,301;;;;;0;27;3;;;;;;;;;;25;29;41;;
F40-40_1;5662902,957;6770955,195;;;;;19;40;23;;;;;;;;;;32;30;42;;
F60-35_5;5632748,599;6864933,659;;;;;3;37;9;;;;;;;;;;27;26;43;;
F60-35_6;5602192,029;6820890,476;;;;;8;43;15;;;;;;;;;;32;32;49;;
F70-45_1;5717568,96;6793687,06;;;;;1;24;4;;;;;;;;;;20;23;35;;
F70-40_1;5834585,251;6956134,126;;;;;47;77;53;;;;;;;;;;69;69;81;;
F90-35_1;5779078,445;6792956,378;;;;;0;26;4;;;;;;;;;;23;26;38;;
FA100-35_45;5589177,591;6660925,306;;;;;-4;19;0;;;;;;;;;;16;18;28;;
FA100-40_9;5700592,933;6642449,643;;;;;-15;5;-12;;;;;;;;;;3;6;16;;
FA100-35_46;5833690,331;6906664,229;;;;;43;63;48;;;;;;;;;;58;58;66;;
FA60-35_1;5800070,836;6775997,118;;;;;-10;9;-7;;;;;;;;;;4;5;16;;
FA70-40_1;5640665,737;6973244,916;;;;;14;36;18;;;;;;;;;;30;30;41;;
FA70-35_1;5644934,659;6951545,485;;;;;14;37;18;;;;;;;;;;31;31;42;;
FA70-35_2;5838420,46;6785168,841;;;;;-10;11;-6;;;;;;;;;;6;7;18;;
FA70-35_3;5852507,511;6893512,654;;;;;47;67;51;;;;;;;;;;61;59;68;;
FA70-35_4;5825911,188;6807449,362;;;;;-9;12;-6;;;;;;;;;;7;8;19;;
FA80-45_2;5701904,475;6746667,82;;;;;7;27;11;;;;;;;;;;23;25;35;;
FA90-35_2;5622969,285;6912905,208;;;;;16;41;21;;;;;;;;;;35;36;47;;
FAr70-45_1;5627294,057;6708524,215;;;;;-14;14;-10;;;;;;;;;;10;13;27;;
FArL50-45_1;5716313,628;6704887,055;;;;;-23;-2;-20;;;;;;;;;;-6;-3;11;;
FArL60-45_1;5689386,384;6732904,005;;;;;-1;23;3;;;;;;;;;;19;22;35;;
FArL60-45_2;5713107,198;6690205,236;;;;;-25;-2;-22;;;;;;;;;;-5;1;14;;
FArL70-45_1;5640561,12;6681273,794;;;;;-18;6;-15;;;;;;;;;;5;11;24;;
FArL70-45_2;5613588,715;6672407,207;;;;;-19;5;-16;;;;;;;;;;4;10;23;;
FArL70-45_3;5669068,237;6680408,171;;;;;-18;6;-15;;;;;;;;;;4;10;23;;
FArL80-45_2;5647529,439;6719029,635;;;;;-7;19;-3;;;;;;;;;;16;20;32;;
FArL80-45_3;5612780,459;6665862,832;;;;;-15;9;-12;;;;;;;;;;8;15;28;;
FArL80-45_4;5655190,489;6674628,771;;;;;-15;10;-12;;;;;;;;;;9;15;28;;
FL70-45_1;5683997,275;6713963,528;;;;;-9;13;-6;;;;;;;;;;9;11;22;;
FL90-40_1;5698631,071;6714564,645;;;;;-6;17;-2;;;;;;;;;;14;17;27;;
FL90-40_2;5706446,555;6676572,234;;;;;-17;4;-14;;;;;;;;;;3;7;18;;
m-FL20-40_3;5879421,213;6846412,794;;;;;;;;;;;;;;;;;65;;;;
m-F30-35_1;5883506,098;6963137,808;;;;;;;;;;;;;;;;;19;;;;
m-F70-30_1;5868269,212;6943721,102;;;;;;;;;;;;;;;;;23;;;;
m-F70-30_2;5877200,41;6829435,912;;;;;;;;;;;;;;;;;73;;;;
m-FL20-45_3;5877930,631;6822696,058;;;;;;;;;;;;;;;;;61;;;;
m-F70-30_3;5877200,41;6829435,912;;;;;;;;;;;;;;;;;73;;;;
m-FAr60-40_1;5857590,511;6882253,617;;;;;;;;;;;;;;;;;77;;;;
m-F70-35_4;5847116,223;6904536,785;;;;;;;;;;;;;;;;;70;;;;
m-FL20-45_4;5877930,631;6822696,058;;;;;;;;;;;;;;;;;61;;;;
m-F70-30_4;5877200,41;6829435,912;;;;;;;;;;;;;;;;;73;;;;
m-FAr60-40_2;5857590,511;6882253,617;;;;;;;;;;;;;;;;;77;;;;
m-FArA100-40_1;5860608,903;6914581,63;;;;;;;;;;;;;;;;;74;;;;
m-FArA100-40_2;5860608,903;6914581,63;;;;;;;;;;;;;;;;;74;;;;
m-F70-30_5;5877200,41;6829435,912;;;;;;;;;;;;;;;;;73;;;;
m-FAr80-30_1;5813630,675;6799971,722;;;;;;;;;;;;;;;;;22;;;;
m-AF70-30_3;5796579,27;6815816,907;;;;;;;;;;;;;;;;;16;;;;
m-FL20-40_1;5800130,723;6750984,931;;;;;;;;;;;;;;;;;21;;;;
m-FL20-40_2;5800130,723;6750984,931;;;;;;;;;;;;;;;;;21;;;;
m-FL20-45_1;5746732,107;6674387,963;;;;;;;;;;;;;;;;;10;;;;
m-F100-30_3;5763340,586;6739257,418;;;;;;;;;;;;;;;;;22;;;;
m-FAr80-40_8;5753355,478;6804540,443;;;;;;;;;;;;;;;;;20;;;;
m-ArL100-40_1;5683200,349;6665645,053;;;;;;;;;;;;;;;;;19;;;;
m-FL20-45_2;5746732,107;6674387,963;;;;;;;;;;;;;;;;;10;;;;
m-ArL100-40_2;5737567,266;6754533,753;;;;;;;;;;;;;;;;;29;;;;
m-FL70-45_1;5719460,563;6818984,986;;;;;;;;;;;;;;;;;18;;;;
m-FAr100-45_1;5651555,787;6786949,032;;;;;;;;;;;;;;;;;21;;;;
m-F60-35_2;5603971,843;6725960,54;;;;;;;;;;;;;;;;;2;;;;
m-ArL80-45_1;5634078,299;6653552,858;;;;;;;;;;;;;;;;;9;;;;
m-F80-45_1;5574229,317;6660847,255;;;;;;;;;;;;;;;;;16;;;;
m-FAr100-45_2;5651555,787;6786949,032;;;;;;;;;;;;;;;;;21;;;;
m-FAr80-30_2;5600508,843;6756112,068;;;;;;;;;;;;;;;;;16;;;;
m-AF50-30_1;5722854,351;6841588,396;;;;;;;;;;;;;;;;;29;;;;
m-AF50-30_2;5722854,351;6841588,396;;;;;;;;;;;;;;;;;29;;;;
m-A100-15_12;5777210,368;6870358,176;;;;;;;;;;;;;;;;;61;;;;
m-Ar60-40_1;5832537,217;6946700,365;;;;;;;;;;;;;;;;;79;;;;
m-FAr100-35_1;5837245,565;6953024,857;;;;;;;;;;;;;;;;;76;;;;
m-A100-30_15;5814136,636;6925616,08;;;;;;;;;;;;;;;;;59;;;;
m-A100-30_16;5814136,636;6925616,08;;;;;;;;;;;;;;;;;59;;;;
m-FAr80-30_4;5802601,727;6918758,644;;;;;;;;;;;;;;;;;81;;;;
m-A100-30_17;5814136,636;6925616,08;;;;;;;;;;;;;;;;;59;;;;
m-AF50-30_3;5722854,351;6841588,396;;;;;;;;;;;;;;;;;29;;;;
m-A100-30_18;5814136,636;6925616,08;;;;;;;;;;;;;;;;;59;;;;
m-A100-30_19;5814136,636;6925616,08;;;;;;;;;;;;;;;;;59;;;;
m-FAr80-30_5;5802601,727;6918758,644;;;;;;;;;;;;;;;;;81;;;;
m-FArA80-35_1;5785435,529;6953397,367;;;;;;;;;;;;;;;;;77;;;;
m-FAr90-30_1;5780315,319;6951527,618;;;;;;;;;;;;;;;;;81;;;;
m-FAr70-40_2;5628611,789;6837183,219;;;;;;;;;;;;;;;;;35;;;;
m-FAr60-30_1;5763222,68;6933985,393;;;;;;;;;;;;;;;;;15;;;;
m-FAr100-35_2;5627330,86;6842976,171;;;;;;;;;;;;;;;;;47;;;;
m-FL60-35_5;5547980,52;6714468,316;;;;;;;;;;;;;;;;;6;;;;
m-F80-35_7;5624293,952;6844770,98;;;;;;;;;;;;;;;;;36;;;;
m-FAr70-40_1;5612263,79;6849765,841;;;;;;;;;;;;;;;;;33;;;;
m-FAr60-30_2;5763222,68;6933985,393;;;;;;;;;;;;;;;;;15;;;;
m-FAr60-30_3;5763222,68;6933985,393;;;;;;;;;;;;;;;;;15;;;;
m-FAr80-30_3;5600508,843;6756112,068;;;;;;;;;;;;;;;;;16;;;;
m-FL60-35_6;5599874,487;6874256,363;;;;;;;;;;;;;;;;;23;;;;
m-FAr60-30_4;5639503,43;6906439,318;;;;;;;;;;;;;;;;;45;;;;
m-FAr80-30_6;5707637,288;6928763,689;;;;;;;;;;;;;;;;;20;;;;
m-FAr100-30_1;5753067,985;6957475,241;;;;;;;;;;;;;;;;;34;;;;
m-AF60-15_1;5715769,629;6965413,249;;;;;;;;;;;;;;;;;62;;;;
m-AF60-15_2;5715769,629;6965413,249;;;;;;;;;;;;;;;;;62;;;;
m-FAr100-30_2;5753067,985;6957475,241;;;;;;;;;;;;;;;;;34;;;;
m-AF60-15_3;5715769,629;6965413,249;;;;;;;;;;;;;;;;;62;;;;
m-F40-30_1;5723049,54;6967893,796;;;;;;;;;;;;;;;;;-23;;;;
m-AF60-15_4;5715769,629;6965413,249;;;;;;;;;;;;;;;;;62;;;;
m-A100-30_21;5675434,388;6972756,52;;;;;;;;;;;;;;;;;8;;;;
m-FArA80-35_2;5646309,507;6977402,567;;;;;;;;;;;;;;;;;39;;;;
m-F70-35_1;5671142,382;6977253,08;;;;;;;;;;;;;;;;;36;;;;
m-F70-35_2;5671142,382;6977253,08;;;;;;;;;;;;;;;;;36;;;;
m-FAr80-30_7;5707637,288;6928763,689;;;;;;;;;;;;;;;;;20;;;;
m-FArA70-40_1;5630897,488;6954193,236;;;;;;;;;;;;;;;;;37;;;;
m-FAr80-30_8;5707637,288;6928763,689;;;;;;;;;;;;;;;;;20;;;;
m-FAr80-30_9;5707637,288;6928763,689;;;;;;;;;;;;;;;;;20;;;;
m-FAr80-30_10;5707637,288;6928763,689;;;;;;;;;;;;;;;;;20;;;;
m-FAr80-30_11;5707637,288;6928763,689;;;;;;;;;;;;;;;;;20;;;;
m-F70-35_3;5671142,382;6977253,08;;;;;;;;;;;;;;;;;36;;;;
AF60-30_5;5569847,998;6693533,465;;;;;-3;18;1;;;;;;;;;;11;9;20;;
AF90-35_2;5564578,926;6745261,959;;;;;-6;13;-3;;;;;;;;;;9;10;19;;
AF90-35_3;5564578,926;6745261,959;;;;;-6;13;-3;;;;;;;;;;9;10;19;;
F100-40_21;5555870,497;6660091,301;;;;;0;27;3;;;;;;;;;;25;29;41;;
AF100-35_4;5614900,335;6881071,845;;;;;12;35;17;;;;;;;;;;28;26;37;;
FA90-35_3;5622969,285;6912905,208;;;;;16;41;21;;;;;;;;;;35;36;47;;
AF100-35_6;5588194,522;6791206,573;;;;;-3;16;0;;;;;;;;;;12;13;22;;
AF90-35_4;5564578,926;6745261,959;;;;;-6;13;-3;;;;;;;;;;9;10;19;;
AF100-35_7;5588194,522;6791206,573;;;;;-3;16;0;;;;;;;;;;12;13;22;;
F60-35_7;5602192,029;6820890,476;;;;;8;43;15;;;;;;;;;;32;32;49;;
Ar100-45_2;5888377,271;6891660,641;;;;;27;54;32;;;;;;;;;;47;48;60;;
m-F60-35_3;5603971,843;6725960,54;;;;;;;;;;;;;;;;;2;;;;
m-FAr100-45_3;5651555,787;6786949,032;;;;;;;;;;;;;;;;;21;;;;
A100-30_7;5668057,23;6458130,256;;;;;-14;-10;-13;;;;;-16;;;;-16;;;4;;8
A100-30_9;5687576,481;6547857,46;;;;;-14;-9;-12;;;;;-16;;;;-16;;;3;;7
A100-30_10;5662059,492;6345444,349;;;;;-5;0;-3;;;;;-8;;;;-9;;;12;;17
A100-30_12;5682881,372;6495183,532;;;;;-15;-9;-13;;;;;-17;;;;-17;;;2;;6
A100-15_5;5579140,037;6304765,07;;;;;-9;-4;-7;;;;;-10;;;;-10;;;12;;16
A100-15_7;5584811,508;6267453,068;;;;;-7;-3;-6;;;;;-10;;;;-10;;;13;;17
A100-15_8;5513555,381;6357057,474;;;;;-12;-6;-10;;;;;-14;;;;-13;;;8;;12
AF80-35_3;5661537,138;6433633,206;;;;;-17;-12;-15;;;;;-19;;;;-19;;;1;;5
AF80-35_6;5679055,293;6559997,59;;;;;-15;-10;-14;;;;;-18;;;;-19;;;0;;4
AF80-35_8;5578589,555;6348114,375;;;;;-9;-4;-7;;;;;-13;;;;-13;;;8;;13
AF80-35_9;5638685,985;6345031,811;;;;;0;6;2;;;;;-3;;;;-4;;;16;;21
AF80-35_10;5543206,567;6590076,56;;;;;-9;-3;-7;;;;;;;;;-13;5;;6;;11
AF80-35_11;5469194,108;6489928,686;;;;;16;21;17;;;;;;;;;12;32;;36;;41
AF80-35_2;5658056,876;6508707,324;;;;;-17;-11;-15;;;;;-20;;;;-20;;;-1;;3
FArL50-45_2;5642391,771;6455318,569;;;;;-37;-32;-36;;;;;-40;;;;-40;;;-11;;-4
FArL50-45_4;5649549,411;6579436,145;;;;;-37;-30;-35;;;;;;;;;-40;-17;;-11;;-4
FArL50-45_6;5617852,796;6628495,073;;;;;-22;-16;-20;;;;;;;;;-26;-5;;1;;8
FArL50-45_7;5625849,727;6525001,355;;;;;-39;-32;-37;;;;;;;;;-43;-19;;-12;;-5
FArL50-45_8;5617958,332;6479952,718;;;;;-40;-34;-38;;;;;-43;;;;-42;;;-13;;-6
FArL50-45_14;5649423,15;6433858,386;;;;;-39;-33;-37;;;;;-42;;;;-41;;;-11;;-4
FArL50-45_17;5648126,547;6388138,461;;;;;-35;-29;-33;;;;;-38;;;;-38;;;-8;;-1
