centroide;CoordX;CoordY;S1-III;S1-IV;TS(TL);TS(TC);M1,2;M1,1;G1,1;G1,2;A1,1;A1,2;TL;P;TS(S2)IV;TS(S2)III;TS(S2)V;S1-V;CN;S1-VII;M2,1;M2,2;TS(S2)VI
FL50-40_7;5480829,982;6100628,376;;;;;-41;-34;-33;-48;;;;-46;;;-9;-45;;;-18;;
FL50-40_1;5446125,347;5929681,11;-22;;;;-42;-45;-49;-36;;;;-42;;9;;;;;;;
FL50-40_16;5315574,17;6107130,111;;;;;-20;-13;-11;-29;;;;-29;;;10;-28;;;2;;
FL50-45_5;5454443,357;6233821,484;;;;;-6;0;3;-12;;;;-16;;;26;-13;;;17;;
FL50-45_6;5563994,88;6172539,686;;;;;-43;-39;-39;-47;;;;-47;;;-14;-44;;;-22;;
FL50-45_7;5551340,346;6221550,934;;;;;-15;-6;-6;-25;;;;-24;;;15;-24;;;6;;
FL50-45_8;5553844,94;5890553,687;-13;;;;-35;-39;-44;-28;;;;-36;;20;;;;;;;
FL50-40_8;5556871,161;5733196,173;1;;;;-25;-31;-37;-17;;;;-25;;33;;;;;;;
FL50-40_17;5741365,006;5888596,974;32;;;;8;4;-3;14;;;;14;;52;;;;;;;
m-AF100-30_3;5443973,004;5696371,614;;;;;;;;;;;;-7;;;;;;;;;
m-AF100-15_1;5777233,789;5903689,396;;;;;;;;;;;;29;;;;;;;;;
m-Ar100-45_1;5739418,421;6104764,271;;;;;;;;;;;;-9;;;;;;;;;
m-Ar100-40_1;5752702,543;5992644,599;;;;;;;;;;;;;;;;;32;;;;
m-Ar100-45_2;5726033,784;5824207,497;;;;;;;;;;;;18;;;;;;;;;
m-Ar100-40_2;5750726,212;5947272,869;;;;;;;;;;;;4;;;;;;;;;
m-ArL100-45_1;5608804,981;6229253,624;;;;;;;;;;;;;;;;;-2;;;;
m-ArL100-45_2;5635739,846;6200181,96;;;;;;;;;;;;;;;;;-5;;;;
m-F100-0_3;5299756,827;5690638,592;;;;;;;;;;;;;;;;;-39;;;;
m-F100-0_1;5318324,124;5638957,469;;;;;;;;;;;;;;;;;-42;;;;
m-F100-0_2;5308137,349;5506425,017;;;;;;;;;;;;;;;;;-47;;;;
m-FA100-30_5;5316782,801;5932425,513;;;;;;;;;;;;-25;;;;;;;;;
m-FA100-30_6;5263905,757;5909850,791;;;;;;;;;;;;-25;;;;;;;;;
m-FAr100-40_1;5227265,477;5808386,259;;;;;;;;;;;;;;;;;-4;;;;
m-FL50-40_3;5497936,735;5995003,195;;;;;;;;;;;;-37;;;;;;;;;
m-FL50-35_1;5446060,365;6024594,27;;;;;;;;;;;;-39;;;;;;;;;
m-FL50-35_2;5503309,704;6146965,15;;;;;;;;;;;;-34;;;;;;;;;
m-FL50-35_3;5705767,66;6110196,715;;;;;;;;;;;;-34;;;;;;;;;
m-FL50-40_4;5542119,324;6045620,735;;;;;;;;;;;;-44;;;;;;;;;
m-FL50-40_2;5478269,031;6065271,976;;;;;;;;;;;;-40;;;;;;;;;
m-FL50-40_5;5503672,033;6189868,14;;;;;;;;;;;;-31;;;;;;;;;
m-FL50-35_4;5728623,173;6100121,524;;;;;;;;;;;;-34;;;;;;;;;
m-FL50-35_5;5530431,113;6167969,826;;;;;;;;;;;;-30;;;;;;;;;
m-FL50-40_6;5372200,384;5963124,989;;;;;;;;;;;;-37;;;;;;;;;
m-FL50-40_7;5672252,129;5997719,537;;;;;;;;;;;;-44;;;;;;;;;
m-FL50-40_8;5566582,396;5948158,902;;;;;;;;;;;;-34;;;;;;;;;
m-FL50-45_1;5598951,267;5933200,085;;;;;;;;;;;;-34;;;;;;;;;
ArL100-40_2;5730489,888;6087877,466;;20;;;-6;-2;-10;-7;;;;-12;50;;;;;;;;
FA100-30_32;5747914,221;6072387,359;;-9;;;-29;-26;-33;-29;;;;-30;15;;;;;;;;
ArL100-40_3;5730489,888;6087877,466;;20;;;-6;-2;-10;-7;;;;-12;50;;;;;;;;
FArL100-40_2;5694701,74;6115304,228;;24;;;-3;2;-8;-4;;;;-8;55;;;;;;;;
ArL100-40_4;5730489,888;6087877,466;;20;;;-6;-2;-10;-7;;;;-12;50;;;;;;;;
FL50-35_9;5731195,715;6068486,405;;-36;;;-53;-50;-55;-54;;;;-53;-7;;;;;;;;
FA100-30_33;5747914,221;6072387,359;;-9;;;-29;-26;-33;-29;;;;-30;15;;;;;;;;
FL50-35_10;5731195,715;6068486,405;;-36;;;-53;-50;-55;-54;;;;-53;-7;;;;;;;;
A100-15_1;4968848,741;6505124,888;;;;;;51;52;;;;;;;;;38;61;;58;;67
AF100-15_1;5079509,796;6146068,323;;;;;49;63;53;42;;;;39;;;71;45;;;66;;
AF20-30_1;5006374,711;6539112,468;;;;;;60;63;;;;;;;;;50;61;;51;;56
AF20-35_1;5097517,991;6624294,086;;;;;;74;77;;;;;;;;;63;75;;63;;69
F100-30_5;4962030,477;6542468,062;;;;;;7;7;;;;;;;;;0;16;;26;;41
F100-40_17;5283740,987;6563713,747;;;;;;16;13;;;;;;;;;8;33;;38;;53
F100-40_18;5288256,945;6371846,347;;;;;13;35;16;-1;;;;2;;;39;7;;;32;;
F100-40_19;5298328,761;6524911,962;;;;;;12;10;;;;;;;;;2;31;;32;;46
F100-50_11;5262739,453;6263849,264;;;;;2;17;0;-9;;;;-18;;;46;4;;;38;;
F100-50_17;4984113,331;6506957,325;;;;;;30;28;;;;;;;;;24;42;;61;;79
F100-35_30;5080242,778;6725279,404;;;;;;;;;;;;;;;;;79;103;95;111;
F20-40_1;5108045,483;6672379,941;;;;;;117;123;;;;;;;;;91;121;;100;;113
F40-40_2;5063317,166;6545682,858;;;;;;82;86;;;;;;;;;56;96;;83;;95
FA100-35_38;4981654,603;6609637,389;;;;;;17;16;;;;;;;;;11;26;;38;;51
FA100-35_20;4961275,255;6581536,089;;;;;;14;14;;;;;;;;;6;23;;32;;46
FA100-30_1;5173976,273;6566492,406;;;;;;61;61;;;;;;;;;47;69;;64;;71
FA100-35_24;5171580,078;6130613,781;;;;;3;16;4;-4;;;;-11;;;37;3;;;30;;
FA100-35_25;5206315,617;6427893,641;;;;;;27;26;;;;;;;;;13;41;;36;;48
FA100-35_26;5210612,656;6234400,479;;;;;8;28;10;-4;;;;-6;;;35;1;;;29;;
FA100-30_12;5262170,712;6431981,135;;;;;-1;18;2;-13;;;;;;;21;-7;12;;16;;
FA100-35_23;5150593,556;6325782,128;;;;;;24;23;;;;;;;;;10;38;;32;;43
FA100-50_11;5286802,726;6306781,597;;;;;25;42;27;16;;;;11;;;52;24;;;48;;
FA100-35_18;4974554,645;6493492,801;;;;;;35;34;;;;;;;;;26;49;;57;;68
FA100-35_22;5039237,257;6668614,4;;;;;;65;65;;;;;;;;;51;71;;66;;73
FA100-35_19;5042255,414;6272205,742;;;;;;18;15;;;;;;;;;8;36;;32;;40
FA100-50_1;5166805,074;6446805,663;;;;;;73;72;;;;;;;;;58;86;;79;;90
FA100-30_13;5134399,783;6199993,715;;;;;3;20;4;-9;;;;-11;;;31;-2;;;25;;
FA100-50_2;5139322,804;6557490,395;;;;;;47;46;;;;;;;;;35;62;;57;;65
FA100-35_39;5094676,152;6481246,678;;;;;;41;39;;;;;;;;;28;57;;51;;60
FA100-50_3;5172900,35;6443111,566;;;;;;72;72;;;;;;;;;57;85;;78;;89
FA100-35_27;5163205,043;6218145,421;;;;;5;25;9;-6;;;;-6;;;32;-1;;;26;;
FA100-40_5;5228687,804;6430685,395;;;;;13;35;17;-1;;;;;;;39;6;28;;33;;
FA100-40_8;5163565,519;6497914,502;;;;;;32;30;;;;;;;;;20;47;;42;;52
FA100-35_28;5098543,27;6322813,445;;;;;;17;17;;;;;;;;;3;30;;24;;34
FA100-45_1;5052861,059;6437188,953;;;;;;25;23;;;;;;;;;17;39;;50;;62
FA100-45_2;5056854,927;6452464,096;;;;;;30;28;;;;;;;;;21;44;;53;;66
FA100-35_41;4996259,934;6611813,412;;;;;;14;14;;;;;;;;;7;25;;36;;52
FA100-35_29;5144887,643;6147244,971;;;;;4;22;6;-6;;;;-7;;;36;2;;;29;;
FA100-30_14;5206353,388;6300089,478;;;;;9;30;11;-4;;;;-6;;;37;2;;;31;;
FA100-35_2;5073092,074;6349446,998;;;;;;27;24;;;;;;;;;13;41;;36;;47
FA100-35_40;4981277,048;6580792,709;;;;;;12;12;;;;;;;;;5;22;;32;;48
FA100-50_4;5115800,547;6712128,491;;;;;;64;64;;;;;;;;;51;72;;67;;74
FA60-30_1;5178355,808;6655695,59;;;;;;76;78;;;;;;;;;59;82;;73;;81
FA70-55_1;5029211,615;6451389,798;;;;;;72;62;;;;;;;;;58;83;;80;;
FL100-35_30;5254632,963;6493995,001;;;;;;27;26;;;;;;;;;13;40;;38;;50
FL100-35_13;5221742,168;6509505,884;;;;;;12;8;;;;;;;;;5;27;;30;;42
FL100-40_1;5006610,959;6515062,41;;;;;;50;48;;;;;;;;;43;63;;75;;85
FL100-35_12;5205351,935;6660098,286;;;;;;64;62;;;;;;;;;53;75;;73;;81
FL100-50_5;5214687,905;6380523,135;;;;;15;33;16;2;;;;;;;44;11;29;;38;;
FL100-35_17;5168567,3;6271670,215;;;;;;14;11;;;;;-3;;;;4;;;29;;41
FL100-30_3;5242340,605;6415093,456;;;;;14;32;16;2;;;;;;;41;10;28;;36;;
FL100-35_18;5147096,53;6296115,455;;;;;;10;6;;;;;-8;;;;5;;;32;;45
FL100-30_4;5265750,566;6394821,085;;;;;15;35;19;2;;;;;;;39;9;28;;34;;
FL100-50_3;5133649,448;6595298,626;;;;;;60;58;;;;;;;;;48;72;;69;;77
